food_id,source,food_item,edible_part_percentage,water_g,kilojoules_kj,kilocalories_kcal,fat_g,sat_fa_g,trans_fa_g,mu_fa_g,pu_fa_g,cholesterol_mg,carbo_g,starch_g,mono_di_g,sugar_g,dietary_fibre,protein_g,salt_g,alcohol_g,retinol_mg,beta_carotene_mg,vitamin_a_are,vitamin_d_mg,vitamin_e_alfa_te,thiamin_mg,riboflavin_mg,niacin_mg,vitamin_b6_mg,folate_mg,vitamin_b12_mg,vitamin_c_mg,calcium_mg,iron_mg,sodium_mg,potassium_mg,magnesium_mg,zinc_mg,selenium_mg,copper_mg,phosphorus_mg,iodine_mg
1.118,Norway,Milk 12 per fat lactose reduced,100,90,180,43,1.2,0.7,0,0.3,0,4,4.7,0,4.7,0,0,3.3,0.1,0,13,13,14,0.4,0,0.04,0.15,0.1,0.03,5,0.5,0,134,0,40,171,8,0.4,1,0.02,115,19
1.119,Norway,Milk 12 per fat UHT treated,100,90,180,43,1.2,0.7,0,0.3,0,4,4.7,0,4.7,0,0,3.3,0.1,0,13,13,14,0,0,0.04,0.15,0.1,0.03,5,0.5,0,134,0,39,171,8,0.4,1,0.02,115,19
1.12,Norway,Milk cultured strawberry D vitamin,100,84,291,69,1.4,0.9,0,0.3,0,4,11.1,0,11.1,6,0,3,0.1,0,11,11,12,0.4,0,0.03,0.13,0.1,0.04,4,0.2,0,100,0.1,34,151,10,0.3,1,0.01,80,16
1.127,Norway,Milk beverage with flavour Litago,100,85,256,61,1.4,0.9,0,0.3,0,4,8.8,0,8.8,4,0,3.2,0.1,0,20,14,21,0,0,0.03,0.14,0.2,0.04,5,0.5,0,95,0.3,32,178,18,0.4,1,0.04,91,18
1.17,Norway,Milk low fat cultured Biola,100,90,190,45,1.5,1,0,0.3,0,4,4.5,0,4.5,0,0,3.4,0.1,0,15,11,16,0,0,0.04,0.15,0.1,0.04,7,0.2,0,116,0,35,149,11,0.3,1,0,90,19
1.171,Norway,Milk skimmed cultured blueberry Biola,100,85,235,55,0.2,0.1,0,0,0,0,10.4,0,10.4,5.6,0,3,0.1,0,2,17,3,0,0,0.06,0.13,0.1,0.04,7,0.2,1,100,0,36,154,11,0.3,1,0,80,16
1.192,Norway,Milk semi skimmed 07 per fat vitamin D enriched,100,91,162,38,0.7,0.4,0,0.2,0,2,4.7,0,4.7,0,0,3.3,0.1,0,6,6,6,0.4,0,0.05,0.15,0.1,0.04,5,0.5,0,116,0,40,161,13,0.4,1,0.01,90,19
1.196,Norway,Cocoa prepared with low fat milk,100,80,351,83,2,1.3,0,0.6,0,3,11.8,0.4,11.4,7,1,4,0.1,0,10,11,11,0,0,0.04,0.15,0.2,0.03,5,0.4,0,114,0.4,39,288,33,0.8,1,0.15,110,M
1.197,Norway,Cocoa prepared from instant powder and low fat milk,100,84,283,67,1.3,0.8,0,0.3,0,3,10.2,0.2,10,5.6,0.5,3.4,0.1,0,10,9,11,0,0,0.05,0.15,0.1,0.04,6,0.4,0,110,0.1,53,192,20,0.5,1,0.07,93,M
1.213,Norway,Milk semi skimmed with flavour cultured 02 per fat Biola,100,85,255,60,0.1,0.1,0,0,0,0,11.8,0,11.8,7.2,0,3,0.1,0,2,17,3,0,0,0.06,0.13,0.1,0.04,7,0.2,1,100,0,36,154,11,0.3,1,0,79,16
1.214,Norway,Milk semi skimmed with raspberries or strawberries cultured 01 per fat Biola,100,85,267,63,0.1,0.1,0,0,0,0,12.5,0,12.5,8,0,3,0.1,0,2,17,3,0,0,0.06,0.13,0.1,0.04,7,0.2,1,100,0,36,154,11,0.3,1,0,78,16
1.215,Norway,Milk semi skimmed lactose free 12 per fat,100,99,157,37,1.2,0.7,0,0.3,0,4,3.1,0,3.1,0,0,3.5,0.1,0,13,13,14,0.4,0,0.04,0.15,0.1,0.03,5,0.5,0,134,0,39,171,8,0.4,1,0.02,115,19
1.216,Norway,Milk beverage chocolate flavour low fat 0 2 g added sugar,100,91,191,45,0.7,0.4,0,0.2,0,2,6.2,0,6.2,1,0,3.5,0.1,0,6,6,6,0,0,0.05,0.15,0.1,0.04,5,0.5,0,114,0,40,161,13,0.4,1,0.01,90,19
1.227,Norway,Milk semi skimmed vitamin D enriched with chocolate flavour,100,91,184,43,0.7,0.4,0,0.2,0,3,5.9,0,5.9,0.9,0,3.4,0.1,0,6,6,6,0.4,0,0.05,0.15,0.1,0.04,5,0.5,0,110,0,40,161,13,0.4,1,0.01,90,19
1.228,Norway,Milk semi skimmed 1 per fat,100,91,175,41,1,0.6,0,0.2,0,3,4.6,0,4.6,0,0,3.5,0.1,0,14,7,15,0,0,0.05,0.15,0.1,0.04,11,0.2,0,120,0,40,157,13,0.6,3,0,97,16
1.229,Norway,Milk semi skimmed unspecified appr. 1 per fat,100,90,180,43,1.2,0.8,0,0.3,0,3,4.7,0,4.7,0,0,3.3,0.1,0,11,10,12,0,0,0.05,0.15,0.1,0.04,6,0.4,0,116,0,40,157,13,0.4,1,0.01,90,11
1.23,Norway,Milk semi skimmed vitamin D enriched 05 per fat,100,91,156,37,0.5,0.3,0,0.1,0,1,4.6,0,4.6,0,0,3.5,0.1,0,6,6,6,0.4,0,0.05,0.15,0.1,0.04,5,0.5,0,120,0,40,180,13,0.4,1,0.01,90,16
1.231,Norway,Milk semi skimmed vitamin D enriched unspecified app. 07 per fat,100,91,160,38,0.7,0.4,0,0.1,0,1,4.6,0,4.6,0,0,3.3,0.1,0,6,6,6,0.4,0,0.05,0.15,0.1,0.04,5,0.5,0,116,0,40,165,13,0.4,1,0.01,90,11
1.235,Norway,Milk whole milk 39 per fat,100,87,278,67,3.9,2.7,0.1,1,0.2,10,4.6,0,4.6,0,0,3.3,0.1,0,36,25,38,0,0.1,0.05,0.15,0.1,0.04,11,0.6,0,120,0,40,180,13,0.6,0,0.02,97,16
1.236,Norway,Milk whole milk unspecified,100,87,267,64,3.6,2.4,0.1,0.8,0.1,9,4.6,0,4.6,0,0,3.3,0.1,0,33,23,35,0,0.1,0.05,0.15,0.1,0.04,6,0.5,0,117,0,40,155,11,0.4,1,0.02,91,11
1.237,Norway,Milk semi skimmed with blueberries and raspberries cultured 01 per fat BioQ,100,85,238,56,0.1,0.1,0,0,0,0,10.3,0,10.3,5,1.3,2.9,0.2,0,2,17,3,0,0,0.06,0.13,0.1,0.04,7,0.2,1,96,0,90,154,11,0.3,1,0,80,14
1.011,Norway,Yoghurt whole milk plain,100,86,313,75,4,2.6,0.1,0.9,0.1,11,5.6,0,5.6,0,0,4.1,0.1,0,36,25,38,0,0.1,0.04,0.16,0.1,0.05,21,0.5,0,134,0.1,45,173,16,0.4,2,0.03,113,14
1.074,Norway,Yoghurt drink fruit,100,81,330,78,1.3,0.8,0,0.3,0,3,12.8,0,12.8,7,0,3.8,0.1,0,13,13,14,0,0,0.05,0.15,0.1,0.05,12,0.2,0,125,0.1,50,179,16,0.4,2,0.01,102,14
1.09,Norway,Yoghurt low fat fruit 05 per fat,100,82,296,70,0.6,0.4,0,0.2,0,3,12.4,0,12.4,7.2,0,3.7,0.1,0,8,6,8,0,0,0.05,0.14,0.2,0.04,23,0.2,0,110,0.1,43,152,9,0.3,1,0,64,M
1.094,Norway,Yoghurt fruit with muesli,100,69,586,139,3.9,2.5,0.1,0.9,0.1,13,21.1,7.3,13.8,10.3,1.2,4.3,0.2,0,28,19,29,0,0.1,0.09,0.14,0.5,0.07,23,0.2,0,99,0.1,65,182,24,0.3,1,0.02,106,14
1.096,Norway,Yoghurt with fruit,100,78,408,97,3.4,2.2,0.1,0.8,0.1,9,13,0,13,7.6,0,3.6,0.1,0,27,18,28,0,0.1,0.05,0.15,0.1,0.07,23,0.4,0,119,0.4,41,113,13,0.4,1,0,91,14
1.172,Norway,Yoghurt plain Biola,100,83,332,79,2.9,1.8,0.1,0.8,0,12,8.9,0,8.9,3,0,4.3,0.1,0,28,29,30,0,0.1,0.08,0.16,0.2,0.04,11,0.2,0,136,0,46,197,15,0.5,1,0.03,111,M
1.173,Norway,Yoghurt with berry Biola,100,80,350,83,1.6,1,0,0.4,0,4,13.3,0,13.3,6,0,3.8,0.1,0,24,38,27,0,0.1,0.06,0.16,0.2,0.07,23,0.3,0,125,0,50,197,14,0.5,1,0,95,14
1.174,Norway,Yoghurt skimmed fruit 01 per fat Yoplait,100,85,221,52,0.1,0.1,0,0,0,0,8.9,0,8.9,3,0,3.9,0.1,0,2,4,2,0,0,1.1,0.29,0.1,0.07,8,0.2,1,115,0.1,45,180,13,0.4,1,0,110,M
1.221,Norway,Yoghurt fruit 01 per fat,100,85,180,42,0.1,0,0,0,0,0,6.3,0,6.3,0,0,4.1,0.1,0,2,4,2,0,0,0.04,0.29,0.1,0.07,8,0.2,1,115,0.1,45,180,13,0.4,1,0,110,M
1.222,Norway,Yoghurt with müesli and berries,100,69,574,136,3.3,2.1,0.1,0.8,0.1,13,21.6,7.4,14.2,10,1.2,4.4,0.2,0,28,19,29,0,0.1,0.09,0.14,0.5,0.07,23,0.2,0,93,0.1,65,182,24,0.3,1,0.02,106,14
1.223,Norway,Yoghurt plain low fat,100,83,241,57,1.5,1,0,0.3,0,4,6.3,0,6.3,0,0,4.6,0.1,0,28,29,30,0,0.1,0.08,0.16,0.2,0.04,11,0.2,0,152,0,50,197,15,0.5,1,0.03,111,M
1.224,Norway,Yoghurt for cooking,100,80,500,120,8.1,5.3,0.3,1.8,0.2,22,6,0,6,0,0,5.8,0.1,0,100,46,104,0,0.2,0.01,0.3,0.2,0.04,2,0.3,0,143,0,35,141,11,0.5,0,0.25,120,M
1.233,Norway,Cultured milk with flavour Skyr,100,83,248,58,0.2,0.1,0,0,0,0,4,0,4,0,0.3,10,0.1,0,0,0,0,0,0,0.02,0.14,0.3,0.06,0,0.9,0,97,0,50,110,13,0.5,0,0,140,M
1.234,Norway,Cultured milk plain Skyr,100,83,250,59,0.2,0.1,0,0,0,0,3.3,0,3.3,0,0,11,0.1,0,0,0,0,0,0,0.04,0.1,0.3,0.07,0,1.6,0,110,0,50,120,13,0.5,0,0,160,M
1.239,Norway,Cultured milk with raspberries Skyr,100,83,332,78,0.2,0.1,0,0,0,0,9,0,9,5,0.2,10,0.1,0,0,0,0,0,0,0.04,0.1,0.3,0.07,0,1.6,1,97,0,40,120,13,0.5,0,0,160,M
1.015,Norway,Cream whipping 38 per fat,100,56,1491,362,38,24.7,1.3,8.6,0.8,102,2.9,0,2.9,0,0,2.1,0,0,490,238,510,0.2,0.9,0.03,0.14,0,0.02,4,0.2,0,75,0,23,91,5,0.2,1,0,52,12
1.036,Norway,Quark 1 per fat,100,82,314,74,1,0.6,0,0.2,0,3,4.3,0,4.3,0,0,12,0.1,0,10,10,11,0,0,0.01,0.28,0.2,0.05,2,0.7,0,120,0,35,140,12,0.6,0,0.25,150,20
1.086,Norway,Cream sour 35 per fat,100,61,1382,335,35,22.7,1.2,8,0.7,94,2.9,0,2.9,0,0,2.2,0,0,453,220,471,0.2,0.8,0.03,0.14,0,0.02,4,0.2,0,75,0,23,91,5,0.2,1,0,52,12
1.087,Norway,Cream sour low fat 20 per fat type TINE,100,74,829,201,19.6,12.7,0.7,4.5,0.4,52,3.4,0,3.4,0,0,2.7,0.1,0,268,130,279,0.1,0.5,0.03,0.14,0,0.04,10,0.2,0,80,0.1,37,108,12,0.3,1,0.01,93,12
1.088,Norway,Cream sour extra low fat 10 per fat Rømmekolle,100,80,486,117,10,6.5,0.4,2.3,0.2,27,3.9,0,3.9,0,0,2.9,0.1,0,94,65,99,0,0.2,0.04,0.12,0.1,0.04,10,0.2,0,102,0,35,116,7,0.3,1,0.01,83,M
1.089,Norway,Cream sour 35 per fat Crème Fraîche,100,60,1382,335,35,22.7,1.2,8,0.7,94,2.9,0,2.9,0,0,2.2,0,0,453,220,471,0.2,0.8,0.03,0.14,0,0.02,4,0.2,0,75,0,23,91,5,0.2,1,0,52,12
1.108,Norway,Cream coffee 10 per fat,100,82,492,119,10,6.5,0.4,2.3,0.2,27,4.2,0,4.2,0,0,3,0.1,0,112,77,118,0,0.2,0.04,0.06,0.1,0.02,4,0.2,0,81,0.1,37,108,7,0.3,1,0.01,93,18
1.175,Norway,Cream household 20 per fat,100,71,852,206,20,13,0.7,4.6,0.4,54,3.9,0,3.9,0,0,2.7,0.1,0,224,129,235,0.1,0.6,0.04,0.1,0,0.02,5,0.2,0,93,0,33,146,7,0.3,1,0,75,16
1.176,Norway,Cream replacer powder Coffeemate,100,3,2298,551,34.5,25.1,0,7.5,0,2,57.3,47.9,9.4,0,0,2.8,1,0,0,200,17,0,0,0,1,0,0,0,0,0,4,1.2,400,900,4,0.5,0,0.12,350,M
1.177,Norway,Cream replacer vegetable fat for coffee,100,85,442,107,10.2,8.6,0,0.8,0.3,0,2.9,0,2.9,2.9,0,0.9,1.3,0,M,0,M,M,M,M,M,M,M,M,0,0,160,M,530,500,M,M,M,M,0,M
1.178,Norway,Cream replacer vegetable fat for cooking,100,88,368,89,8.2,1.3,0,1.8,4.8,0,2.9,0,2.9,2.9,0,0.9,1.3,0,M,0,M,M,M,M,M,M,M,M,0,0,160,M,530,500,M,M,M,M,0,M
1.179,Norway,Cream topping vegetable fat in spray can,100,66,1075,260,25,21.2,0,1.9,0.6,0,7.3,0,7.3,7.3,0,1.5,2.2,0,M,0,M,M,M,M,M,M,M,M,0,0,160,M,880,440,M,M,M,M,0,M
1.18,Norway,Dressing sour cream with herbs,100,80,564,136,11.8,7.3,0.5,3.2,0.2,36,4.7,0,4.7,0,0,2.8,0.8,0,129,131,140,0.2,0.3,0.04,0.13,0.1,0.02,10,0.2,0,110,0,306,159,95,0.3,1,0,78,M
1.189,Norway,Cream replacer vegetable fat whipping,100,85,428,103,8.3,7.1,0,0.6,0.2,0,6.4,0,6.4,6.4,0,0.7,1.8,0,M,0,M,M,M,M,M,M,M,M,0,0,180,M,700,150,M,M,M,M,0,M
1.225,Norway,Cream 38 per fat whipped canned,100,54,1559,378,39,25.3,1.4,8.9,0.8,104,4.8,0,4.8,2,0,2,0,0,360,180,375,0.2,0.9,0.03,0.14,0,0.02,4,0.2,0,75,0,23,91,5,0.2,1,0,52,14
1.226,Norway,Quark 8 per fat,100,80,483,116,8,5.2,0.3,1.8,0.2,21,4.8,0,4.8,0,0,6.2,0.1,0,100,46,104,0,0.2,0.01,0.3,0.2,0.04,2,0.3,0,110,0,35,141,11,0.5,0,0.25,120,20
1.238,Norway,Quark 7 per fat raspberries Snjo,100,80,603,144,7,4.5,0.3,1.8,0.2,21,15,0,15,11,0.5,5,0.1,0,3,17,4,0,0,0.06,0.13,0.1,0.04,7,0.2,1,81,0,40,108,12,0.3,1,0,80,M
1.027,Norway,Cheese hard Cheddar,100,37,1637,395,32.3,21,1.1,7.4,0.6,86,0.3,0,0.3,0,0,25.7,1.9,0,316,231,335,0.2,0.7,0.03,0.31,0.1,0.04,27,1.2,0,720,0.2,745,70,24,3.5,9,0.04,530,39
1.038,Norway,Cheese semihard Gräddost,100,39,1729,418,38,25,1.3,8.7,0.8,102,0,0,0,0,0,19,1.2,0,343,223,361,0,1,0.05,0.21,0.3,0.02,22,1.7,0,600,0.2,500,55,25,3.2,10,0.03,430,42
1.042,Norway,Cheese blue mold Norzola,100,46,1584,383,35,23.8,1.3,8.4,0.7,98,0,0,0,0,0,17,3.5,0,M,M,390,0.2,0.6,0.03,0.25,0.7,0.13,78,1.2,0,430,0.1,1400,82,15,2.5,8,0.06,300,35
1.048,Norway,Cheese semihard Ridderost,100,40,1746,422,38,25,1.3,8.7,0.8,102,0,0,0,0,0,20,1.5,0,343,223,361,0,1,0.06,0.29,0.4,0.03,57,3,0,620,0.2,600,64,26,3.5,8,0.03,540,37
1.062,Norway,Cheese semihard Crème Chérie,100,50,1385,335,31,20,1.1,7,0.6,82,0,0,0,0,0,14,1.9,0,143,220,161,0.2,0.6,0.02,0.2,0,0.01,14,0.5,0,430,0.3,770,104,16,2.3,3,0.08,960,11
1.136,Norway,Cheese ripened Brie,100,57,1490,360,32,20.6,1.1,7.2,0.6,85,0,0,0,0,0,18,1.5,0,M,M,370,0.2,0.6,0.04,0.19,0.4,0.14,55,0.6,0,510,0.1,600,101,18,2.4,5,0.04,370,14
1.144,Norway,Cheese blue mold Royal Blue,100,38,1866,452,44,28.9,1.6,10.1,0.9,119,0,0,0,0,0,14,1.5,0,M,M,490,0.2,0.8,0.03,0.23,1,0.23,36,1.2,0,570,0,600,96,18,2.3,7,0.02,420,30
1.248,Norway,Goat cheese hard white type Balsfjord,100,40,1649,398,34,21,0.7,9.7,1.1,M,0,0,0,0,0,23,1.5,0,256,1,256,0,0.9,0.1,0.26,0.4,0.05,19,0.2,0,1000,0.3,600,101,63,3.9,9,0.06,710,86
1.252,Norway,Cheese blue mold Selbu Blå,100,41,1735,420,40,26,1.4,9.1,0.8,107,0,0,0,0,0,15,2.2,0,M,M,580,0.2,0.6,0.03,0.27,0.7,0.13,42,1.4,0,440,0.1,880,82,15,2.5,8,0.06,320,37
1.025,Norway,Cheese ripened Camembert,100,50,1359,328,28,17.8,1,6.2,0.5,73,0,0,0,0,0,19,1.5,0,M,M,300,0.1,0.5,0.04,0.21,0.5,0.23,83,1.1,0,470,0.1,600,110,18,2.7,8,0.01,360,40
1.03,Norway,Cheese hard Edam,100,41,1458,351,27,18,1,6.1,0.5,72,0,0,0,0,0,27,1.5,0,244,159,257,0,0.7,0.08,0.3,0.4,0.03,41,2.4,0,800,0.2,600,76,32,4.4,10,0.04,580,30
1.035,Norway,Cheese hard Jarlsberg,100,41,1458,351,27,18,1,6.1,0.5,72,0,0,0,0,0,27,1.2,0,244,159,257,0,0.7,0.07,0.38,0.4,0.02,21,2.1,0,800,0.2,480,70,32,4.3,12,0.04,580,49
1.037,Norway,Cheese blue mold Normanna,100,46,1393,336,28,18.4,1,6.5,0.6,76,0,0,0,0,0,21,3.5,0,M,M,310,0.1,0.5,0.04,0.32,0.8,0.17,36,1.2,0,430,0,1400,85,16,2.5,10,0.02,350,35
1.039,Norway,Cheese hard Norvegia Gulost,100,42,1458,351,27,18,1,6.1,0.5,72,0,0,0,0,0,27,1.2,0,M,M,300,0,0.5,0.08,0.31,0.4,0.03,40,2.4,0,820,0.2,480,77,33,4.6,11,0.04,600,31
1.043,Norway,Cheese hard caraway spiced Nøkkelost,100,41,1458,351,27,18,1,6.1,0.5,72,0,0,0,0,0,27,1.5,0,244,159,257,0,0.7,0.08,0.3,0.4,0.03,40,2.4,0,800,0.2,600,76,32,4.4,10,0.04,0,30
1.046,Norway,Cheese semihard Port Salut,100,46,1333,321,25,16,0.9,5.7,0.5,67,0,0,0,0,0,24,1.5,0,226,147,238,0,0.6,0.07,0.33,0.4,0.04,65,3.4,0,720,0.2,600,74,30,4,10,0.04,520,42
1.05,Norway,Cheese hard Sveitser,100,39,1512,364,28,18,1,6.4,0.6,75,0,0,0,0,0,28,1.5,0,246,160,259,0,0.7,0.07,0.27,0.4,0.03,26,2.3,0,790,0.2,600,79,35,4.5,12,0.04,600,45
1.052,Norway,Cheese whey goat's milk,100,19,1854,444,27.6,17.9,1,6.3,0.5,74,37,0,37,0,0,12,0.7,0,312,65,317,0.1,0.6,0.23,1.6,1.7,0.12,3,0.6,0,360,0.3,280,1304,61,0.7,5,0.06,400,305
1.053,Norway,Cheese whey cow's milk,100,19,1877,450,28,18.2,1,6.4,0.6,75,37.5,0,37.5,0,0,12,0.8,0,279,221,297,0.1,0.6,0.16,0.92,0.6,0.11,21,1.1,0,345,0.3,315,970,45,0.6,5,0.02,360,140
1.055,Norway,Cheese whey cow's and goat's milk,100,19,1900,456,29.4,19.1,1,6.7,0.6,79,37.4,0,37.6,0,0,10.4,0.7,0,298,158,311,0.2,0.6,0.19,1.16,0.9,0.11,21,1.1,0,345,0.3,294,1090,56,0.6,5,0.01,450,145
1.066,Norway,Cheese Mozarella,100,45,1327,319,23,15,0.8,5.2,0.5,62,1,0,1,0,0,27,1.5,0,207,135,218,0,0.6,0.09,0.33,0.4,0.03,45,2.6,0,880,0.2,600,83,35,4.9,11,0.05,640,33
1.115,Norway,Cheese semihard Norbo,100,42,1461,352,28,18,1,6.4,0.6,75,0,0,0,0,0,25,1.2,0,M,M,310,0,0.5,0.08,0.31,0.4,0.03,42,2.4,0,820,0.2,500,77,33,4.6,10,0.04,595,31
1.117,Norway,Cream cheese goat's milk Snøfrisk,100,65,1061,257,25,16,0.9,5.7,0.5,59,2,0,2,0,0,6,1.5,0,M,M,180,0.2,0.4,0.03,0.17,1.1,0.04,14,0.2,0,87,0.1,600,130,6,0.7,3,0.02,100,55
1.146,Norway,Cheese hard St. Paulin,100,42,1478,356,28,17.2,1.1,7.5,0.5,93,0,0,0,0,0,26,1.4,0,277,202,294,0,0.5,0.02,0.17,0,0.06,24,1.7,0,770,0.1,570,68,26,3.9,11,0.04,540,48
1.15,Norway,Cream cheese plain,100,61,1152,279,27,18,1,6.5,0.5,78,3,0,3,0,0,6,1,0,M,M,270,0.1,0.5,0.03,0.16,0.1,0.03,7,0.4,0,84,0,400,110,9,0.7,3,0.06,105,19
1.161,Norway,Cheese processed semihard with bacon Taffelost,100,46,1304,314,24.5,15.9,0.9,5.6,0.5,65,0.1,0,0.1,0,0,23.3,2.8,0,142,190,158,0.1,0.4,0.02,0.2,0.1,0.06,24,1.7,0,652,0.4,1110,88,25,3.8,11,0.09,710,M
1.185,Norway,Cheese white unspecified type,100,42,1447,348,26.7,16.4,1.1,7.2,0.5,81,0,0,0,0,0,27,1.3,0,252,188,268,0,0.5,0.03,0.29,0.1,0.06,0,1.7,0,790,0.2,523,70,25,3.9,11,0.06,544,30
1.186,Norway,Cheese whey unspecified type,100,20,1882,451,27.4,17.3,0.8,7.2,0.6,98,40.1,0,40.1,0,0,11,0.8,0,282,150,294,0.1,0.6,0.19,1.18,0.9,0.12,0,1,0,367,0.3,300,1129,58,0.6,5,0.01,460,M
1.188,Norway,Cheese with goat's milk Feta,100,56,1038,250,20.2,13.7,0.7,4.1,0.6,54,1.5,0,1.5,0,0,15.6,3.6,0,220,33,223,0.3,0.4,0.04,0.21,0.2,0.07,23,1.1,0,360,0.2,1440,95,20,0.9,5,0.07,280,14
1.19,Norway,Vegatable fat cheese substitute,100,42,1516,366,30,12.9,M,8.7,6.5,10,0.9,0,0,0,0,23,1.4,0,10,5,10,0,1.9,0.07,0.34,0.1,0.1,18,1.4,0,670,0.2,580,64,34,2.8,7,0,530,M
1.191,Norway,Cheese for burgers,100,40,1427,344,28,18.2,1,6.4,0.6,75,0.1,0,0.1,0,0,22.9,2.8,0,183,254,204,0.1,0.6,0.02,0.2,0.1,0.04,27,1.2,0,600,0.4,1110,80,25,3.8,11,0.09,710,M
1.2,Norway,Cheese hard Parmesan,100,28,1730,416,29.7,19.2,1.1,7.7,1.1,80,0.9,0,0.9,0,0,36.2,3.8,0,371,233,390,0.3,0.8,0.03,0.32,0.1,0.11,12,3.3,0,1025,0.8,1530,152,41,5.1,12,0.84,680,72
1.212,Norway,Cream cheese with herbs,100,61,1152,279,27,18,1,6.5,0.5,76,3,0,3,0,0,6,1,0,M,M,270,0.1,0.5,0.03,0.16,0.1,0.03,7,0.4,0,84,0,400,110,9,0.7,3,0.06,105,19
1.217,Norway,Cheese with vitamin D,100,41,1389,334,26,16.9,0.9,5.9,0.5,70,0.1,0,0.1,0,0,25,1.3,0,267,195,283,3.7,0.5,0.03,0.32,0.1,0.06,24,1.5,0,720,0.2,510,70,25,4,11,0.06,550,30
1.219,Norway,Cheese grated,100,40,1475,355,27,18,1,6.1,0.5,72,0,0,0,0,0,28,1.2,0,244,159,257,0,0.7,0.07,0.33,0.4,0.02,31,2.2,0,780,0.2,500,71,31,4.3,11,0.04,570,39
